release_year,total_revenue,average_revenue
1937-12-20,184925486,184925486.0
1939-08-15,33754967,33754967.0
1940-11-13,83320000,83320000.0
1942-08-14,267447150,267447150.0
1962-10-04,59600000,59600000.0
1963-10-11,78898765,78898765.0
1964-07-06,12299668,12299668.0
1964-09-17,124881062,124881062.0
1965-12-16,141195658,141195658.0
1966-12-23,6000000,6000000.0
1967-06-12,111584787,111584787.0
1969-12-12,81974493,81974493.0
1970-07-17,40000000,40000000.0
1971-04-23,15200000,15200000.0
1971-12-13,116019547,116019547.0
1972-03-14,245066411,245066411.0
1973-07-05,161777836,161777836.0
1973-12-26,441306145,441306145.0
1974-12-01,97572000,97572000.0
1975-03-13,5028948,5028948.0
1975-06-18,470654000,470654000.0
1977-05-25,775398007,775398007.0
1977-07-07,185438673,185438673.0
1978-05-01,321952,321952.0
1978-07-27,141000000,141000000.0
1978-10-25,70000000,70000000.0
1979-05-25,104931801,104931801.0
1979-06-26,210308099,210308099.0
1979-08-15,89460381,89460381.0
1980-02-08,21378361,21378361.0
1980-05-17,538400000,538400000.0
1980-06-06,4865000,4865000.0
1981-05-22,50244700,50244700.0
1981-06-12,389925971,389925971.0
1981-06-23,195312802,195312802.0
1981-09-16,85000000,85000000.0
1981-11-12,2000000,2000000.0
1982-04-03,792910554,792910554.0
1982-06-25,52769378,26384689.0
1983-05-23,572700000,572700000.0
1983-06-03,79567667,79567667.0
1983-06-05,187500000,187500000.0
1983-10-07,160000000,160000000.0
1984-05-23,333000000,333000000.0
1984-10-26,78371200,78371200.0
1985-05-24,152427960,152427960.0
1985-06-21,11137801,11137801.0
1985-07-03,381109762,381109762.0
1986-05-30,11000000,11000000.0
1987-06-24,38119483,38119483.0
1987-06-29,191185897,191185897.0
1988-07-08,7282851,7282851.0
1988-07-16,553171,553171.0
1988-11-23,13008928,13008928.0
1989-02-17,40485039,40485039.0
1989-05-24,474171806,474171806.0
1989-07-07,156167015,156167015.0
1989-11-20,332000000,332000000.0
