movie_id,name,job,id,title,vote_average,vote_count,budget,revenue
19995,James Cameron,Director,19995,Avatar,7.2,11800,237000000,2787965087
285,Gore Verbinski,Director,285,Pirates of the Caribbean: At World's End,6.9,4500,300000000,961000000
206647,Sam Mendes,Director,206647,Spectre,6.3,4466,245000000,880674609
49026,Christopher Nolan,Director,49026,The Dark Knight Rises,7.6,9106,250000000,1084939099
49529,Andrew Stanton,Director,49529,John Carter,6.1,2124,260000000,284139100
559,Sam Raimi,Director,559,Spider-Man 3,5.9,3576,258000000,890871626
38757,Byron Howard,Director,38757,Tangled,7.4,3330,260000000,591794936
38757,Nathan Greno,Director,38757,Tangled,7.4,3330,260000000,591794936
99861,Joss Whedon,Director,99861,Avengers: Age of Ultron,7.3,6767,280000000,1405403694
767,David Yates,Director,767,Harry Potter and the Half-Blood Prince,7.4,5293,250000000,933959197
209112,Zack Snyder,Director,209112,Batman v Superman: Dawn of Justice,5.7,7004,250000000,873260194
1452,Bryan Singer,Director,1452,Superman Returns,5.4,1400,270000000,391081192
10764,Marc Forster,Director,10764,Quantum of Solace,6.1,2965,200000000,586090727
58,Gore Verbinski,Director,58,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,200000000,1065659812
57201,Gore Verbinski,Director,57201,The Lone Ranger,5.9,2311,255000000,89289910
49521,Zack Snyder,Director,49521,Man of Steel,6.5,6359,225000000,662845518
2454,Andrew Adamson,Director,2454,The Chronicles of Narnia: Prince Caspian,6.3,1630,225000000,419651413
24428,Joss Whedon,Director,24428,The Avengers,7.4,11776,220000000,1519557910
1865,Rob Marshall,Director,1865,Pirates of the Caribbean: On Stranger Tides,6.4,4948,380000000,1045713802
41154,Barry Sonnenfeld,Director,41154,Men in Black 3,6.2,4160,225000000,624026776
122917,Peter Jackson,Director,122917,The Hobbit: The Battle of the Five Armies,7.1,4760,250000000,956019788
1930,Marc Webb,Director,1930,The Amazing Spider-Man,6.5,6586,215000000,752215857
20662,Ridley Scott,Director,20662,Robin Hood,6.2,1398,200000000,310669540
57158,Peter Jackson,Director,57158,The Hobbit: The Desolation of Smaug,7.6,4524,250000000,958400000
2268,Chris Weitz,Director,2268,The Golden Compass,5.8,1303,180000000,372234864
254,Peter Jackson,Director,254,King Kong,6.6,2337,207000000,550000000
597,James Cameron,Director,597,Titanic,7.5,7562,200000000,1845034188
271110,Anthony Russo,Director,271110,Captain America: Civil War,7.1,7241,250000000,1153304495
271110,Joe Russo,Director,271110,Captain America: Civil War,7.1,7241,250000000,1153304495
44833,Peter Berg,Director,44833,Battleship,5.5,2114,209000000,303025485
135397,Colin Trevorrow,Director,135397,Jurassic World,6.5,8662,150000000,1513528810
37724,Sam Mendes,Director,37724,Skyfall,6.9,7604,200000000,1108561013
558,Sam Raimi,Director,558,Spider-Man 2,6.7,4321,200000000,783766341
68721,Shane Black,Director,68721,Iron Man 3,6.8,8806,200000000,1215439994
12155,Tim Burton,Director,12155,Alice in Wonderland,6.4,4645,200000000,1025491110
36668,Brett Ratner,Director,36668,X-Men: The Last Stand,6.3,3525,210000000,459359555
62211,Dan Scanlon,Director,62211,Monsters University,7.0,3528,200000000,743559607
8373,Michael Bay,Director,8373,Transformers: Revenge of the Fallen,6.0,3138,150000000,836297228
91314,Michael Bay,Director,91314,Transformers: Age of Extinction,5.8,3095,210000000,1091405097
68728,Sam Raimi,Director,68728,Oz: The Great and Powerful,5.7,3530,200000000,491868548
102382,Marc Webb,Director,102382,The Amazing Spider-Man 2,6.5,4179,200000000,705717432
20526,Joseph Kosinski,Director,20526,TRON: Legacy,6.3,2841,170000000,400062763
