job,vote_average,vote_count,budget,revenue,people_count_unique
24 Frame Playback,6.628571428571428,25233,1044000000,3397685005,12
2D Artist,6.6,11729,417000000,1778914757,4
2D Supervisor,6.025,3877,315000000,401004993,4
3D Animator,6.191304347826088,37801,1454500000,4136449633,21
3D Artist,6.097142857142857,44359,2130000000,5727480970,32
3D Coordinator,6.3999999999999995,5805,220000000,675571718,3
3D Modeller,5.7625,10932,612000000,1596103578,7
3D Supervisor,6.376190476190476,134310,4565106000,16083724296,53
ADR & Dubbing,6.51095238095238,894025,27083709283,88925603705,246
ADR Editor,6.336290322580646,165037,6834700000,19469437121,96
ADR Supervisor,6.371428571428572,83760,3141300000,9655567387,42
ADR Voice Casting,6.524324324324325,63475,2366300000,7759271815,12
Actor's Assistant,6.8999999999999995,7746,255000000,651496191,2
Adaptation,6.488888888888889,24621,660138004,2417311830,45
Additional Camera,6.300735294117647,225120,9446100000,28666369623,125
Additional Dialogue,6.953333333333333,84059,3019700000,14382437324,23
Additional Editing,6.414285714285715,110393,4362300000,13624163186,61
Additional Editorial Assistant,7.3533333333333335,64534,1485000000,7829134022,13
Additional Music,6.239252336448598,152583,6389330000,19051983953,94
Additional Photography,6.4064,262748,7440160000,27029163859,120
Additional Sound Re-Recording Mixer,6.538461538461538,29050,1029000000,3670799711,11
Additional Soundtrack,7.3842105263157904,37100,898483848,3881629009,17
Additional Still Photographer,5.833333333333333,1697,140000000,684078315,3
Additional Writing,6.44,59123,2179537686,5697062546,40
Administration,6.1000000000000005,14831,379000000,2164469664,6
Aerial Camera,6.68,65790,1668000000,6615712217,18
Aerial Camera (suggest in addition to Helicopter Camera),6.45,6223,254000000,755838644,4
Aerial Camera Technician,7.2,9016,237000000,860907367,2
Aerial Coordinator,6.5473684210526315,26339,1330806000,3926757673,14
Aerial Director of Photography,6.264444444444444,67826,3899806000,9637959054,14
Ager/Dyer,6.22,19246,1095500000,2329714084,11
Animal Coordinator,5.970000000000001,17922,662000000,2525048972,9
Animal Wrangler,6.491666666666667,11785,638882870,1796738812,11
Animation,6.635483870967742,3468712,119514328534,461698993974,1001
Animation Department Coordinator,7.2875000000000005,20250,450300000,2088428974,8
Animation Director,6.57310924369748,379595,12065800000,54439289910,80
Animation Fix Coordinator,6.666666666666667,12670,500000000,1661651859,3
Animation Manager,6.76,80015,2454000000,10149265350,34
Animation Production Assistant,6.884615384615385,29628,547930538,3430846965,13
Animation Supervisor,6.43984375,633302,24954500003,84886455405,178
Animatronic and Prosthetic Effects,6.482758620689655,75855,2142000000,6326454857,26
Animatronics Designer,6.357142857142857,13543,568000000,1646279756,7
Animatronics Supervisor,6.4,480,22000000,33788161,1
Apprentice Sound Editor,6.25,17553,650300000,2443929685,10
Armorer,6.2288461538461535,366910,16053930500,45132332032,115
Armory Coordinator,7.2,1811,92000000,172989651,1
Art Department Assistant,6.346206896551725,283502,10984300000,33517834151,135
Art Department Coordinator,6.324508670520231,1479887,54542991867,169118359979,526
Art Department Manager,6.38433734939759,131630,5574770030,19071279740,60
Art Direction,6.387717195925704,5180449,195306545785,622911948153,1624
Assistant Art Director,6.451677852348993,1559625,57021148346,177461859314,589
Assistant Costume Designer,6.437127371273713,615165,23147597014,73049806508,285
Assistant Director,7.043035343035343,841591,18490463311,83856801283,370
Assistant Editor,6.976497695852535,467186,11021218244,46881267313,175
Assistant Music Supervisor,6.9,864,30000000,611899420,1
Assistant Production Coordinator,6.341538461538462,91102,3626700000,10968478265,62
Assistant Production Manager,6.6450000000000005,38068,1214000000,4185027824,20
Assistant Property Master,6.268571428571429,97945,4172600000,12233007550,61
Assistant Set Dresser,5.550000000000001,692,41300000,106371651,2
Assistant Sound Editor,6.462025316455696,243682,8353700000,26111351508,128
Associate Choreographer,6.6866666666666665,16008,660000000,1817955849,11
Associate Editor,6.42608695652174,38915,1702244087,4622085504,22
Associate Producer,6.3299481865284974,1239904,49202804663,150797723589,794
Author,6.168508287292818,356864,18306399672,51971949149,501
Background Designer,6.543220338983051,147300,5190398961,20949657950,99
Best Boy Electric,6.2163716814159296,332342,13532334005,43474385481,206
Best Boy Electrician,6.733333333333333,8977,308700000,701299538,6
Book,6.6515625,64422,2514577000,6433131720,60
Boom Operator,6.374375,704235,24433698541,78045093892,290
CG Animator,6.11,13372,764000000,2759657082,8
CG Painter,6.836363636363636,125805,2464000000,14872887311,24
CG Supervisor,6.354896907216494,1182658,41026500009,166820710286,285
CGI Supervisor,6.102941176470588,40550,2435000000,5680745881,31
Cableman,6.28,32984,1368700000,3650842471,24
Camera Department Manager,6.34375,38125,1575000000,5815963145,6
Camera Intern,5.931818181818182,35285,1612500000,4844564215,22
Camera Loader,6.495454545454546,59576,2476100000,6453193635,41
Camera Operator,6.389179331306991,2889449,104460679733,336552772927,917
Camera Supervisor,7.55,22734,435500000,2407973589,4
Camera Technician,6.323404255319149,107512,4312750000,14371452899,25
Carpenter,6.232367149758454,305355,12631591907,38354963420,179
Casting,6.287407240836519,5196729,190980229472,586636659491,974
Casting Assistant,6.315151515151515,190190,8032700000,23718029669,123
Casting Associate,6.393486590038314,873414,31990318000,103219059720,319
Casting Consultant,7.5,6346,110000000,554555511,2
Character Designer,6.8478260869565215,112184,3052600000,12477684866,43
Character Technical Supervisor,6.625,6712,207976846,900721979,4
Characters,6.0539325842696625,719233,27376238423,97037588590,226
Chef,6.211864406779661,88523,3485500000,10864277000,43
Chief Lighting Technician,6.31551724137931,72905,3188700000,9561780767,48
Choreographer,6.409090909090909,209768,8892866355,29120853273,131
Cinematography,5.851867219917012,129719,4736690165,14254774711,218
Co-Art Director,5.866666666666666,8373,757000000,1500414392,7
Co-Costume Designer,6.0,693,80000000,111325709,6
Co-Director,6.891666666666667,44047,1063000000,5865281222,10
Co-Editor,6.5,313,25000000,0,1
Co-Executive Producer,6.366891891891892,161192,4003700000,11830976501,135
Co-Producer,6.323120837297812,1351094,49680964831,159120222896,847
Co-Writer,4.671428571428572,479,46000000,73959436,5
Color Designer,6.277272727272727,38728,1046950000,6144181557,19
Color Timer,6.564119601328904,542963,17922475867,62944113834,84
Comic Book,6.985714285714286,64758,1625000000,6505186503,11
Compositors,6.286311787072243,946675,26544660009,145838888166,153
Conceptual Design,6.349019607843138,288126,11857100006,33842434320,64
Conceptual Illustrator,6.0562499999999995,30788,1722000000,5443406406,15
Conductor,6.31764705882353,35377,1831638000,5911024056,21
Construction Coordinator,6.359937888198758,1086610,38592056003,125857527719,301
Construction Foreman,6.248701298701298,210721,9283800000,27533174807,138
Consulting Producer,6.675,8693,179500000,916704520,4
Continuity,6.742857142857143,5221,185000000,734569904,7
Costume Coordinator,6.275,28187,1224000000,3893480215,16
Costume Design,6.319138576779026,2802405,102834450505,310923584641,926
Costume Illustrator,6.418181818181818,21130,1003000000,2873671137,9
Costume Supervisor,6.391320754716982,1774546,61760627701,206640807758,534
Craft Service,6.363870967741935,235526,9325500000,29699707267,112
Creative Consultant,6.515384615384615,17082,559125000,2319494260,11
Creative Producer,6.2,13969,835000000,2205234987,1
Creator,5.2444444444444445,5525,172700250,537911116,7
Creature Design,6.2593220338983055,101417,3298750000,12873615975,47
Creature Technical Director,6.279999999999999,11275,570000000,1866806090,5
Department Administrator,6.266666666666667,6625,290000000,657005651,3
Development Manager,4.975,1738,190000000,497973120,4
Dialect Coach,6.529268292682927,457473,15760800003,49982232697,88
Dialogue,7.142857142857143,9262,142994736,626839176,13
Dialogue Editor,6.4115534738485565,2092788,74101114663,236076826900,490
Digital Compositors,6.407894736842105,287125,11531730000,36621671136,150
Digital Effects Producer,6.4625,22220,639000000,3061405452,8
Digital Effects Supervisor,6.1454545454545455,242739,10873000000,34081974706,102
Digital Intermediate,6.401694915254238,942616,29428766748,89442336713,267
Digital Producer,5.995652173913044,37609,2050000000,6453187150,21
Directing Lighting Artist,7.5,11992,230000000,1125632512,2
Director,6.110511033681766,3635368,152973139554,439388414405,2577
Director of Photography,6.275,3058806,122250941972,354021246356,1139
Documentation & Support,6.675,14259,296000000,1224951499,4
Dolby Consultant,6.409558823529412,184123,6758592875,21362971265,40
Dolly Grip,6.326881720430107,125294,4914000000,14467484456,79
Draughtsman,6.5,14868,552300000,2214433124,8
Driver,6.3028880866426,426636,17045850000,55343328162,235
Editor,6.27212172802724,4258325,174910848733,525051543666,1619
Editorial Coordinator,6.870588235294117,46031,1304000000,6303849573,15
Editorial Manager,6.96875,50367,1554250000,5461821242,16
Editorial Production Assistant,6.525,61772,1957488423,8875423053,32
Editorial Services,6.9185185185185185,62456,1719000000,6893520372,18
Editorial Staff,7.466666666666666,9586,85500000,449722156,3
Electrician,6.489902280130293,621816,19357305870,81684332215,277
Epk Camera Operator,6.45,6141,138000000,529941286,2
Executive Consultant,6.8,5265,139000000,821708551,1
Executive In Charge Of Post Production,6.15,41564,1737000000,4983965343,11
Executive In Charge Of Production,6.522321428571429,193034,5914200000,21965760766,65
Executive Music Producer,6.6923076923076925,87624,2699500000,8967868185,23
Executive Producer,6.286498300145701,7089195,260298234145,774299769448,3163
Executive Visual Effects Producer,5.946153846153846,12737,790000000,2189558247,8
Executive in Charge of Finance,5.9,3795,218000000,722116054,2
Fight Choreographer,6.2749999999999995,24168,590000000,2047184634,12
Finance,6.4,24453,822500000,3175597497,15
First Assistant Camera,6.3879166666666665,773641,25910820688,83128772667,349
First Assistant Director,6.212145748987854,272407,12062430500,33947069486,175
First Assistant Editor,6.415436241610738,1051243,36985642557,116697371783,437
First Assistant Sound Editor,6.201574803149606,209908,8553030003,26385152853,80
Fix Animator,7.228571428571429,34466,650000000,4945621466,5
Foley,6.435117967332124,1984937,64469623838,213610903041,317
Foley Editor,6.396710526315789,223728,8774960500,28055899960,114
Gaffer,6.377005988023952,1318218,45859999468,144507682302,520
Graphic Novel Illustrator,6.722222222222222,29871,923500000,2947482226,4
Greensman,6.412386706948641,729193,24737750000,89149275434,213
Grip,6.400887573964497,660853,19375750910,77092908116,298
Gun Wrangler,7.0,594,36000000,102244770,1
Hair Department Head,6.324000000000001,443882,15741500000,47393713596,173
Hair Designer,6.57378640776699,183055,6445901300,20059689696,74
Hair Setup,6.45,22254,675000000,2979394852,4
Hair Supervisor,6.3,5186,280500000,391942501,5
Hairstylist,6.443282594308404,2301651,81102245307,256214721515,890
Helicopter Camera,6.2823529411764705,569710,21683798241,71417817803,65
I/O Manager,5.175,3751,334000000,569342787,3
I/O Supervisor,6.2439024390243905,83863,3365000000,12140365398,26
Idea,6.33,5291,294000060,707184236,10
Imaging Science,7.4,265,3200000,8000000,1
In Memory Of,6.461538461538462,21929,936000000,2936067625,13
Information Systems Manager,7.45,11148,207000000,1194258348,1
Interior Designer,7.7,1306,5288000,406176459,1
Key Animation,7.8,773,8000000,553171,1
Key Costumer,6.286486486486487,100429,4696430500,12237280100,71
Key Grip,6.265,258034,10828186500,31528114375,151
Key Hair Stylist,6.328602150537635,620276,22512011918,73291716692,340
Key Makeup Artist,6.2153846153846155,152429,8195250000,21001227050,125
Key Set Costumer,6.636,69968,2147500000,12175998667,24
Layout,6.722292993630574,626944,30639265329,103889587421,178
Lead Animator,6.3313725490196076,65905,3793000000,9939131565,46
Lead Painter,6.102857142857142,53979,2385000000,6031434962,30
Lead Set Dresser,6.0,2916,110000000,300061023,2
Leadman,6.33202416918429,534954,19778950000,59369235075,209
Legal Services,6.476470588235294,21797,653000000,2204058887,15
Lighting Artist,6.4879518072289155,202243,8121000000,33208300673,53
Lighting Camera,7.0200000000000005,16248,620000000,2531963204,4
Lighting Coordinator,7.05,8574,333000000,1555577012,4
Lighting Director,6.6875,29113,929000000,3372172637,8
Lighting Manager,7.45,11148,207000000,1194258348,2
Lighting Production Assistant,7.5,5996,115000000,562816256,1
Lighting Supervisor,6.593023255813954,104349,5129000000,16395254387,39
Lighting Technician,6.380365296803653,466703,16370839750,62587476059,169
Line Producer,6.271116504854368,332989,14877521062,39281132356,351
Loader,6.199186991869919,197191,8748200000,26213906631,107
Local Casting,6.038461538461538,25146,1287800000,2811618856,23
Location Manager,6.42291169451074,1441286,48093335068,153761312553,578
Location Scout,6.313207547169811,222137,8630100000,25581550280,134
Machinist,6.285714285714286,20260,747000000,2450152971,14
Makeup Artist,6.401213960546283,2848069,101636690176,323538470437,1199
Makeup Department Head,6.230857142857143,1043139,36623700010,111628195748,326
Makeup Designer,6.534313725490196,165503,5563227167,18467188649,78
Makeup Effects,6.147881355932204,611947,19358952000,61579670355,330
Makeup Effects Designer,6.659999999999999,4828,102500000,219825831,5
Makeup Supervisor,6.453333333333333,10339,661500000,1093081119,13
Manager of Operations,6.933333333333334,6801,163000000,1169943427,2
Marine Coordinator,5.957894736842105,16867,1201800000,2335333393,15
Martial Arts Choreographer,5.909090909090909,6234,486500000,1015158704,9
Master Lighting Artist,7.314285714285715,35138,842000000,3725622532,5
Matchmove Supervisor,6.185714285714285,16053,850000000,2546005466,7
Mechanical & Creature Designer,7.3,4128,6400000,78371200,1
Mechanical Designer,6.540000000000001,5843,423000000,949645737,5
Mix Technician,6.6875,41549,1343000000,3876676080,8
Mixing Engineer,6.2,4644,110500000,497336764,5
Modeling,6.564210526315789,313812,10127000000,48401544614,74
Motion Capture Artist,6.3933333333333335,39313,2037000000,6969766235,8
Music,6.121421215242018,638394,26550483371,65987288764,592
Music Director,7.082352941176471,9564,173183001,398017093,14
Music Editor,6.383531274742676,1928635,73572923281,218412480102,371
Music Programmer,6.314285714285715,13391,948000000,2005913163,14
Music Supervisor,6.370884146341464,812622,24617544169,81745764632,248
Musical,6.699999999999999,17197,517500000,2814907447,17
Musician,6.497260273972603,115853,4184843566,14163774100,46
Negative Cutter,6.380281690140845,103353,4209736000,12503951321,19
Novel,6.527055702917772,742292,28192287348,82848102546,598
Orchestrator,6.4637974683544295,728664,27549573472,93285892527,153
Original Music Composer,6.310748256182625,2947707,117475479100,354493751314,1002
Original Story,6.544578313253012,171342,5459980000,20261202281,71
Other,6.937313432835821,98583,2717145750,11538866679,62
Painter,6.390374331550802,306182,11769006000,35014381544,151
Photoscience Manager,7.55,12118,209000000,1503151792,2
Picture Car Coordinator,6.252755905511811,200474,7359900000,21125769171,88
Pilot,6.5203125,82569,3462406000,9886539409,42
Playback Singer,7.233333333333334,893,105000000,232559058,6
Poem,6.833333333333333,2814,179700000,520805275,3
Post Production Assistant,6.376666666666667,209076,7623830000,25361284003,100
Post Production Consulting,6.65,3251,10000000,225933435,2
Post Production Supervisor,6.507868020304568,689414,21305678173,75194417531,203
Post-Production Manager,6.632352941176471,44929,2060500000,5926677873,27
Pre-Visualization Supervisor,6.333333333333333,15222,667000000,2308004325,5
Presenter,7.050000000000001,1510,15000000,125212904,2
Producer,6.229659024103468,8946386,369610249167,1015941970546,4757
Production Accountant,6.371206225680934,417440,15035606000,49205055633,194
Production Artist,7.438888888888889,94625,2033000000,9662835615,17
Production Controller,6.522033898305085,131295,4176406000,15946500172,34
Production Coordinator,6.3115138592750535,621524,24220236500,75590685087,388
Production Design,6.290870637997886,2882026,109056690952,325773905453,1042
Production Illustrator,6.235106382978723,170163,7215500000,22808725209,73
Production Intern,6.645454545454545,33838,1179200000,4495932702,21
Production Manager,6.640339702760085,713836,24132268079,80782415342,424
Production Office Assistant,6.574603174603174,157725,4216000000,16380110175,55
Production Office Coordinator,6.733333333333333,56697,2113400000,6129601625,31
Production Sound Mixer,6.383003952569171,374094,14325750531,39409378583,120
Production Supervisor,6.3804687499999995,641196,22795795907,78110626848,294
Projection,6.547540983606557,133395,5266000000,18531536485,39
Prop Designer,6.2,106,50000000,69834815,1
Prop Maker,6.322222222222222,45557,1208730500,6369526676,17
Property Master,6.376541717049577,1284205,42799282400,137543063093,448
Propmaker,6.262566844919785,361736,13891000000,47902453051,150
Prosthetic Designer,7.05,4440,19900000,167833720,2
Prosthetic Makeup Artist,6.378571428571428,43908,1815400000,4679434252,25
Prosthetic Supervisor,6.453448275862069,134614,3962800000,14411968410,51
Public Relations,7.0,10926,224200000,934447152,5
Publicist,6.640566037735849,195242,6209403392,23700841222,80
Pyrotechnic Supervisor,6.4875,12229,386230500,1273654296,6
Pyrotechnician,5.777777777777778,6232,468061000,853072505,8
Quality Control Supervisor,6.609999999999999,19351,1076000000,3320505447,2
Radio Play,6.4,81,10000000,0,1
Recording Supervision,6.8,408,27500000,3200000,2
Researcher,6.296341463414634,164520,6980700000,21683596704,67
Rigging Gaffer,6.401038961038961,697116,25693200003,81954406690,244
Rigging Grip,6.386818181818182,439671,15994700000,52699955227,183
Rigging Supervisor,6.95,8266,200000000,1005333755,2
Roto Supervisor,5.92,8720,750000000,1412997767,10
Scenario Writer,6.07,3842,415030643,314466346,20
Scenic Artist,6.22478386167147,518611,21673535000,60143876731,269
Schedule Coordinator,5.9,189,50000000,49718611,1
Score Engineer,6.05,16930,716000000,2266133610,11
Scoring Mixer,6.55054945054945,159506,5669982870,19392167916,33
Screenplay,6.26377245508982,4727898,204444200515,593995477865,2971
Screenstory,6.328070175438596,119866,4224255000,13125092482,56
Script,6.854545454545455,5224,137701848,424899240,11
Script Consultant,6.7,909,65000000,134686475,2
Script Coordinator,6.267741935483872,51603,2542000000,7090252502,22
Script Editor,6.757142857142857,8886,196730500,678640410,7
Script Researcher,6.475,2395,260000000,408404870,3
Script Supervisor,6.290807962529274,2029646,76761633894,223410120966,656
Sculptor,6.302317880794702,732865,25668426000,86978591838,194
Seamstress,6.337837837837838,217634,8265000000,26000625478,96
Second Assistant Director,6.312307692307693,160255,6663906000,18848098565,114
Second Film Editor,7.371428571428572,35212,697000000,5285437709,7
Second Unit,6.434285714285714,89718,2909540870,9492304406,65
Second Unit Cinematographer,6.252063492063493,527953,21271674000,71275248720,228
Second Unit Director of Photography,6.392307692307692,11006,632838783,1593590359,13
Security,6.473913043478261,134768,4583500000,17791559056,49
Sequence Leads,6.566666666666667,65439,2796000000,8776781543,21
Sequence Supervisor,6.574736842105263,262810,9688442154,30771590238,87
Set Costumer,6.393883792048929,2224070,75805700006,254636887290,656
Set Decorating Coordinator,6.95,12304,425000000,1424370149,4
Set Decoration,6.334515987735436,2647084,97377321326,298407220470,919
Set Decoration Buyer,6.341071428571429,105302,3385500000,11022562151,51
Set Designer,6.3439,2182995,82027419307,288106972870,527
Set Dresser,6.405035971223021,185956,6125900000,19337268466,130
Set Dressing Artist,6.311864406779661,353339,11855650000,48104959204,166
Set Dressing Manager,7.5,5996,115000000,562816256,1
Set Dressing Production Assistant,6.36,8032,183800000,912258515,5
Set Dressing Supervisor,6.666666666666667,23021,996000000,3341999742,9
Set Medic,6.2323076923076925,192159,8618500000,23042856532,93
Set Production Assistant,6.3921052631578945,270716,10836200000,33274934235,137
Set Production Intern,6.4,573,43000000,91974818,1
Sets & Props Artist,6.0,508,110000000,0,2
Settings,8.1,1712,2,17000000,2
Shading,7.323529411764706,89000,2009000000,9415891403,13
Shoe Design,6.5,642,40000000,60474340,1
Short Story,6.35,5234,232000000,656106379,4
Simulation & Effects Artist,7.045,102778,2502000000,12376846779,19
Simulation & Effects Production Assistant,5.5,2092,120000000,273477736,4
Software Engineer,6.3293103448275865,144551,6178000000,21425513765,46
Software Team Lead,6.642857142857143,27175,708000000,2852136077,7
Songs,6.638888888888889,77961,2990859871,12202043157,42
Sound,6.837254901960784,107714,2993484422,10179905566,94
Sound Design Assistant,6.354545454545455,67037,1820770000,7109408780,17
Sound Designer,6.438079096045198,1484934,51240858042,161384678369,419
Sound Director,6.4,7813,186025000,1184300953,11
Sound Editor,6.480314960629921,465532,14557627316,51263628655,310
Sound Effects,7.3,4936,51000000,388921954,2
Sound Effects Designer,6.31764705882353,9827,1141130000,926787003,14
Sound Effects Editor,6.386535859269283,2467470,91951367417,283513750008,589
Sound Engineer,6.444262295081968,83069,2690180000,10297940341,39
Sound Mixer,6.383644859813083,296414,12453400000,39569878686,154
Sound Montage Associate,8.3,3338,13000000,47542841,1
Sound Re-Recording Mixer,6.42077922077922,2590405,88767673160,277461326781,439
Sound Recordist,6.496833773087071,583331,19777257872,65052219595,243
Sound mixer,6.52289156626506,220521,5938776000,20734642194,118
Special Effects,6.769656992084432,664922,15417413841,79376501506,321
Special Effects Coordinator,6.2768421052631584,887763,33768289753,100649023593,345
Special Effects Supervisor,6.370144927536232,539116,20349422023,62166503147,204
Special Guest Director,7.2,2691,40000000,158733820,1
Special Sound Effects,6.366666666666666,10801,741000000,1645554845,14
Stand In,6.392696629213484,287794,10756300000,33448395343,155
Standby Painter,6.438345864661653,238919,8561500000,27015639380,91
Steadicam Operator,6.395555555555555,1031388,35170400986,112467162912,273
Steadycam,6.566666666666666,3733,91000000,324124475,3
Still Photographer,6.395494071146246,1789050,60701006828,192039873542,409
Story,6.2145476772616135,1084262,45069834148,143784946908,736
Story Editor,7.2,1811,92000000,172989651,1
Storyboard,6.345287356321839,700144,27824156030,96482982308,282
Storyboard Designer,6.1571428571428575,43728,1542250000,4595460575,12
Studio Teachers,6.35,157283,5819500000,18380961982,60
Stunt Coordinator,6.3412371134020615,1705853,58081244746,185319888550,490
Stunt Double,7.074999999999999,6432,233500000,425209371,4
Stunts,6.593321769297485,3130739,77553980078,337282011852,788
Stunts Coordinator,6.5826086956521745,34121,1072000000,3726037803,21
Supervising ADR Editor,6.270967741935484,30540,1978500000,4255254932,25
Supervising Animator,6.737623762376238,210936,8573063391,30722529213,71
Supervising Art Director,6.381235154394299,934833,37368598266,115445991676,213
Supervising Dialogue Editor,6.176,24025,1180000000,2666393034,21
Supervising Film Editor,7.491666666666667,27622,484318000,3550418935,10
Supervising Music Editor,6.4622222222222225,60565,2676600000,10201107613,37
Supervising Producer,6.208333333333333,23271,627000000,1425614588,10
Supervising Sound Editor,6.369713261648746,1782198,62347156602,208574805418,391
Supervising Sound Effects Editor,6.429411764705883,44409,1648600000,4883715594,26
Supervising Technical Director,6.764285714285714,50258,1361000000,6515012635,14
Systems Administrators & Support,6.1499999999999995,124957,5242600000,17776097034,49
Tailor,6.517391304347826,35354,1715000000,4701951984,19
Tattoo Designer,6.1,2000,53000000,133459087,2
Tattooist,6.1000000000000005,1793,35000000,30387730,3
Technical Supervisor,6.1635294117647055,107923,6281300060,18069433536,63
Techno Crane Operator,6.333333333333333,4280,330000000,768148585,3
Telecine Colorist,6.338095238095238,22600,927306000,3300335290,15
Teleplay,5.46,10262,286500000,667968831,10
Temp Music Editor,6.914285714285714,22695,589000000,3456270847,6
Temp Sound Editor,6.2,981,20000000,167722310,1
Thanks,7.099101796407186,851106,18560297500,73396582193,315
